dataset_id,method,model,auc,recovery_rate,detection_precision,detection_recall,detection_f1
breast_cancer,agent_full,xgb,0.9914021164021164,0.9906666666666666,1.0,0.2222222222222222,0.3636363636363636
breast_cancer,agent_full,rf,0.9904100529100529,0.9886666666666666,1.0,0.2222222222222222,0.3636363636363636
breast_cancer,agent_full,lr,0.5,0.0,1.0,0.2222222222222222,0.3636363636363636
breast_cancer,agent_no_reviewer,xgb,0.9914021164021164,0.9906666666666666,1.0,0.2222222222222222,0.3636363636363636
breast_cancer,agent_no_reviewer,rf,0.9904100529100529,0.9886666666666666,1.0,0.2222222222222222,0.3636363636363636
breast_cancer,agent_no_reviewer,lr,0.5,0.0,1.0,0.2222222222222222,0.3636363636363636
breast_cancer,agent_no_planner,xgb,0.9914021164021164,0.9906666666666666,1.0,0.2222222222222222,0.3636363636363636
breast_cancer,agent_no_planner,rf,0.9904100529100529,0.9886666666666666,1.0,0.2222222222222222,0.3636363636363636
breast_cancer,agent_no_planner,lr,0.5,0.0,1.0,0.2222222222222222,0.3636363636363636
breast_cancer,agent_zero_shot,xgb,0.9914021164021164,0.9906666666666666,1.0,0.25925925925925924,0.4117647058823529
breast_cancer,agent_zero_shot,rf,0.9904100529100529,0.9886666666666666,1.0,0.25925925925925924,0.4117647058823529
breast_cancer,agent_zero_shot,lr,0.5,0.0,1.0,0.25925925925925924,0.4117647058823529
breast_cancer,agent_few_shot,xgb,0.9914021164021164,0.9906666666666666,1.0,0.25925925925925924,0.4117647058823529
breast_cancer,agent_few_shot,rf,0.9904100529100529,0.9886666666666666,1.0,0.25925925925925924,0.4117647058823529
breast_cancer,agent_few_shot,lr,0.5,0.0,1.0,0.25925925925925924,0.4117647058823529
digits,clean_upper,xgb,0.991666409457082,,,,
digits,no_clean,xgb,0.7425537825241519,,,,
digits,rule_based,xgb,0.7582024136547424,0.06281749473423369,0.8,0.14814814814814814,0.25
digits,agent_full,xgb,0.9925306336615327,1.0034692107545533,1.0,0.25925925925925924,0.4117647058823529
